batch_id,wallets,start_block,end_block,start_time,duration_min,start_address,end_address,total_O,avg_per_wallet_O,min_wallet_O,max_wallet_O,bundlers
B01,100,47479105,47479279,2026-06-18T01:52:37.000000Z,5.8,0x00660e991945c0451410e6d61d08aca91c580c2f,0xfd59a0a7b27614658986d12ee9e791e02c6c46ef,238585.21,2385.85,119.29,20017.30,4
B02,100,47479292,47479512,2026-06-18T01:58:51.000000Z,7.3,0x04dacd40ec762c284334b872a9089d781cf9c838,0xfbca5858be953783eef89839ae5c263d323015f1,242680.15,2426.80,97.07,25991.05,4
B03,100,47479855,47480050,2026-06-18T02:17:37.000000Z,6.5,0x000fff7d35a2088d5a3b3681e63b9774ea76a6b8,0xff302481954416e08e6a79f831100614c454f4da,238363.81,2383.64,119.18,10058.96,4
B04,100,47480059,47480224,2026-06-18T02:24:25.000000Z,5.5,0x00e78cc4a029f50eb78902c82e5fb30787c57d2a,0xffc8195c065ca873870a4f0a2e48b4f2b7ff1107,238540.93,2385.41,71.56,21850.35,4
B05,100,47481944,47482131,2026-06-18T03:27:15.000000Z,6.2,0x03bb6b66cb3ed641f1d4c4ec925b8eaf1b69b8ce,0xfe42ed1559a753f428194367d496280d3563bf37,241693.72,2416.94,96.67,27335.56,4
B06,100,47482199,47482392,2026-06-18T03:35:45.000000Z,6.4,0x00855f0a7fe9108a923bea58e9faaf90486fa4ea,0xf9100162350ca64c68da0a0912ada9109bc3d3ec,239188.28,2391.88,95.67,25784.50,4
B07,100,47482879,47483054,2026-06-18T03:58:25.000000Z,5.8,0x035127bf8b26156347ff468295f6b462f58dd7e9,0xfea955553f0f2300a4be78307001c22cb86dcd88,239021.27,2390.21,71.70,18595.86,4
B08,100,47484499,47484663,2026-06-18T04:52:25.000000Z,5.5,0x03b26b389359c54393e2c0567357d1d9e6ea608f,0xfbb5c5b1b8ec05a75d738a2f7fc48f90620abb27,241977.93,2419.78,120.98,16139.93,4
B09,100,47484870,47485053,2026-06-18T05:04:47.000000Z,6.1,0x006237895a12917541f55b470af4c76f0b58baf0,0xfe7536bf6e128ae767110e9d7376d5d68519a98d,239072.05,2390.72,119.53,36099.88,4
B10,100,47487477,47487758,2026-06-18T06:31:41.000000Z,9.4,0x006c752625ca78df586dc423329a0254099b12c1,0xfc765f8598bf0cb6aee46aba17bd3e94648639c7,242539.61,2425.40,121.26,22071.11,4
B11,100,47517744,47518047,2026-06-18T23:20:35.000000Z,10.1,0x02e34cb1a3db5692b51f555cc9bea3c68356f257,0xf8aa5ea96668fbadce44ef03a00342651b134998,241062.00,2410.62,96.42,28806.91,4
B12,100,47518116,47518420,2026-06-18T23:32:59.000000Z,10.1,0x0149d5ee20fdeced033ca4e8063b798910a93b4e,0xff817e45eed392bf87feed624e59d7d4c5c2df08,240463.98,2404.64,48.09,16904.62,4
B13,100,47526872,47527169,2026-06-19T04:24:51.000000Z,9.9,0x02d93ae2660779bc77698b53c00eca7187da3abe,0xff171163dc676aa5de87f0a0010d08bda1cc7ba3,241391.70,2413.92,120.69,32418.91,4
B14,100,47528695,47528990,2026-06-19T05:25:37.000000Z,9.8,0x038cc9dc163ced9f66451c457f2fad22c6ed8b27,0xff5859890dc11632bb4acafbb4f4883d729c0fec,242277.54,2422.78,72.68,24978.82,4
B15,100,47531021,47531323,2026-06-19T06:43:09.000000Z,10.1,0x02ffa64caf84eb96548aa0549ca157ca30900b81,0xfe398b5f09cdf0dd71523fad8095ba06673626b6,242227.48,2422.27,96.89,22309.16,4
B16,100,47532545,47532841,2026-06-19T07:33:57.000000Z,9.9,0x09d577e2d0ff8a1f4e15f46969e76b9057d89f2b,0xfdf99c8e959f890f0749406de2531849916dbad2,239777.88,2397.78,95.91,27454.57,4
B17,100,47550712,47551443,2026-06-19T17:39:31.000000Z,24.4,0x00c7d42805706b31c6ab0b9754d2320aaff39a4e,0xfeb13b3d080edc9be7df3e1be7e7d2edd0d1bf90,242940.06,2429.40,97.17,26018.89,4
B18,100,47553500,47554556,2026-06-19T19:12:27.000000Z,35.2,0x00531870c8407f4608969d77217cc033c7f9c0d2,0xf92550997948372cb1e81d86c5882033dc83bd61,241849.66,2418.50,96.73,31827.42,4
B19,100,47564409,47566682,2026-06-20T01:16:05.000000Z,75.8,0x09da9e28b87d2e2dfa2bcb9685fe794447264049,0xffe11fe482f6d045b18b445e23b6d8630eb9dae4,240603.80,2406.04,120.30,29810.82,4
B20,100,47568208,47573268,2026-06-20T03:22:43.000000Z,168.7,0x00b9401cbaf9dd7324923e6e6ae979b45dd8f825,0xfd3b78aa8c8fbb5a841d45d0dba303a19676dbc1,240767.45,2407.67,144.46,11075.31,4
B21,100,47617057,47617737,2026-06-21T06:31:01.000000Z,22.7,0x006ee243b19db2892f648d4f158e9e23d17081e8,0xfda7c90f45bec1789b3814a598a89b13d863da95,240255.58,2402.56,96.10,28109.91,4
