hour_utc,total_claims,fresh_claims,non_fresh_claims,pct_fresh,fresh_pct_of_O
2026-06-17 15:00,1182,21,1161,2,1
2026-06-17 16:00,674,37,637,5,41
2026-06-17 17:00,1364,957,407,70,95
2026-06-17 18:00,1050,884,166,84,98
2026-06-17 19:00,1106,1015,91,92,97
2026-06-17 20:00,101,100,1,99,100
2026-06-17 23:00,13,0,13,0,0
2026-06-18 00:00,16,0,16,0,0
2026-06-18 01:00,1728,1649,79,95,100
2026-06-18 02:00,872,444,428,51,95
2026-06-18 03:00,629,365,264,58,99
2026-06-18 04:00,926,797,129,86,100
2026-06-18 05:00,522,379,143,73,99
2026-06-18 06:00,219,101,118,46,99
2026-06-18 07:00,127,4,123,3,24
2026-06-18 08:00,119,0,119,0,0
2026-06-18 09:00,157,0,157,0,0
2026-06-18 10:00,176,1,175,1,0
2026-06-18 11:00,157,0,157,0,0
2026-06-18 12:00,83,0,83,0,0
2026-06-18 13:00,60,3,57,5,20
2026-06-18 14:00,19,0,19,0,0
2026-06-18 15:00,11,0,11,0,0
2026-06-18 16:00,31,0,31,0,0
2026-06-18 17:00,16,0,16,0,0
2026-06-18 18:00,6,1,5,17,2
2026-06-18 19:00,3,0,3,0,0
2026-06-18 20:00,2,0,2,0,0
2026-06-18 21:00,5,0,5,0,0
2026-06-18 22:00,341,336,5,99,100
2026-06-18 23:00,364,362,2,99,100
2026-06-19 00:00,285,277,8,97,100
2026-06-19 01:00,123,117,6,95,100
2026-06-19 02:00,109,75,34,69,100
2026-06-19 03:00,255,219,36,86,100
2026-06-19 04:00,119,104,15,87,100
2026-06-19 05:00,113,100,13,88,99
2026-06-19 06:00,386,378,8,98,100
2026-06-19 07:00,837,816,21,97,100
2026-06-19 08:00,36,1,35,3,85
2026-06-19 09:00,137,105,32,77,99
2026-06-19 10:00,132,100,32,76,100
2026-06-19 11:00,70,36,34,51,98
2026-06-19 12:00,34,6,28,18,98
2026-06-19 13:00,26,12,14,46,99
2026-06-19 14:00,41,8,33,20,99
2026-06-19 15:00,67,0,67,0,0
2026-06-19 16:00,108,41,67,38,100
2026-06-19 17:00,167,161,6,96,100
2026-06-19 18:00,142,138,4,97,100
2026-06-19 19:00,100,100,0,100,100
2026-06-19 20:00,10,9,1,90,100
2026-06-19 21:00,82,82,0,100,100
2026-06-19 22:00,8,8,0,100,100
2026-06-20 00:00,3,0,3,0,0
2026-06-20 01:00,58,52,6,90,100
2026-06-20 02:00,63,48,15,76,100
2026-06-20 03:00,34,15,19,44,99
2026-06-20 04:00,45,0,45,0,0
2026-06-20 05:00,37,0,37,0,0
2026-06-20 06:00,94,87,7,93,100
2026-06-20 08:00,5,1,4,20,22
2026-06-20 09:00,8,0,8,0,0
2026-06-20 10:00,4,0,4,0,0
2026-06-20 11:00,7,0,7,0,0
2026-06-20 12:00,9,0,9,0,0
2026-06-20 13:00,24,0,24,0,0
2026-06-20 14:00,36,0,36,0,0
2026-06-20 15:00,24,0,24,0,0
2026-06-20 16:00,4,0,4,0,0
2026-06-20 18:00,2,0,2,0,0
2026-06-20 19:00,1,0,1,0,0
2026-06-20 20:00,1,0,1,0,0
2026-06-20 23:00,3,0,3,0,0
2026-06-21 00:00,2,0,2,0,0
2026-06-21 01:00,4,0,4,0,0
2026-06-21 02:00,99,99,0,100,100
2026-06-21 03:00,101,99,2,98,100
2026-06-21 04:00,1,0,1,0,0
2026-06-21 05:00,2,0,2,0,0
2026-06-21 06:00,102,100,2,98,100
2026-06-21 07:00,1,0,1,0,0
2026-06-21 08:00,9,9,0,100,100
2026-06-21 10:00,3,0,3,0,0
2026-06-21 11:00,3,0,3,0,0
2026-06-21 12:00,4,0,4,0,0
2026-06-21 13:00,8,0,8,0,0
2026-06-21 14:00,7,0,7,0,0
2026-06-21 15:00,34,0,34,0,0
2026-06-21 16:00,5,0,5,0,0
2026-06-21 17:00,1,0,1,0,0
2026-06-21 18:00,1,0,1,0,0
2026-06-21 19:00,65,64,1,98,100
2026-06-21 21:00,1,1,0,100,100
2026-06-21 23:00,2,0,2,0,0
2026-06-22 00:00,2,0,2,0,0
2026-06-22 01:00,2,0,2,0,0
2026-06-22 02:00,10,0,10,0,0
2026-06-22 03:00,5,0,5,0,0
2026-06-22 04:00,10,0,10,0,0
2026-06-22 05:00,1,0,1,0,0
2026-06-22 06:00,16,0,16,0,0
2026-06-22 07:00,24,0,24,0,0
2026-06-22 09:00,1,0,1,0,0
2026-06-22 10:00,3,0,3,0,0
2026-06-22 11:00,2,0,2,0,0
2026-06-22 12:00,26,0,26,0,0
2026-06-22 13:00,27,0,27,0,0
2026-06-22 14:00,9,0,9,0,0
2026-06-22 15:00,2,0,2,0,0
